Ports,Region,Cntr Cycle Name,Cntr No,Cntr Size,cntr_trxn_id,Dpd Dpe,In Time,Is Empty,Max,orgname,Out Time,Transportmode
"NMPT, New Mangalore",Southern,EXPORT,TEMU5435017,,,,7/8/2020 12:54,,26709742,New Manglore Port Trust,10/8/2020 13:09,TRUCK
"KDS, Kolkata",Eastern,EXPORT,MRKU8748604,20,,,12/8/2020 18:20,,26712331,"Kolkata Dock System (KDS) , Kolkata Port",17/8/2020 07:44,TRUCK
"VCT, Visakhapatnam",Eastern,EXPORT,SUDU7668201,20,,N,12/8/2020 13:14,,26733933,Visakha Container Terminal,13/8/2020 02:39,RAIL
APSEZ,Western,EXPORT,SEGU7301350,40,,,27/7/2020 23:56,,26746938,Adani International Container Terminal (AICTPL),31/7/2020 12:40,TRUCK
Chennai Port,Southern,EXPORT,CLHU8924189,40,,N,11/8/2020 02:00,,26747944,Chennai Container Terminal Pvt. Ltd. (CCTL),14/8/2020 10:37,TRUCK
JNPT,Western,EXPORT,ACNU1990157,20,,N,26/7/2020 09:48,,26749228,Nhava Sheva International Container Terminal (NSICT),27/7/2020 11:08,TRUCK
JNPT,Western,EXPORT,BSIU2395519,20,,Y,26/7/2020 13:38,,26751054,Jawaharlal Nehru Port Container Terminal (JNPCT),28/7/2020 20:19,TRUCK
APSEZ,Western,EXPORT,IALU2250783,20,,,15/8/2020 15:11,,26751061,Mundra International Container Terminal (MICT),18/8/2020 07:45,RAIL
APSEZ,Western,EXPORT,TEMU5261764,20,,,23/7/2020 03:39,,26752026,Adani International Container Terminal (AICTPL),31/7/2020 03:44,RAIL
Chennai Port,Southern,EXPORT,UESU2460019,20,,N,19/8/2020 05:17,,26758436,Chennai International Terminals Pvt Ltd (CITPL),20/8/2020 23:00,TRUCK
APSEZ,Western,EXPORT,CNCU1604110,20,,,2/8/2020 16:41,,26759029,Adani CMA Mundra Terminal (ACMTPL),8/8/2020 16:07,TRUCK
JNPT,Western,EXPORT,GESU5311951,40,,N,1/8/2020 11:24,,26759209,Bharat Mumbai Container Terminals(PSA),4/8/2020 23:46,TRUCK
JNPT,Western,EXPORT,CRXU1670983,20,,N,22/8/2020 15:02,,26760118,Nhava Sheva India Gateway Terminal (NSIGT),25/8/2020 08:08,TRUCK
APSEZ,Western,EXPORT,SUDU6744122,40,,,3/8/2020 23:55,,26760379,Mundra International Container Terminal (MICT),10/8/2020 22:09,RAIL
JNPT,Western,EXPORT,FSCU3774205,20,,Y,31/7/2020 00:29,,26760798,Nhava Sheva India Gateway Terminal (NSIGT),2/8/2020 17:08,TRUCK
Chennai Port,Southern,EXPORT,CRXU1576977,20,,N,19/8/2020 05:16,,26761831,Chennai International Terminals Pvt Ltd (CITPL),20/8/2020 23:03,TRUCK
JNPT,Western,EXPORT,WSCU9554231,40,,N,20/8/2020 07:58,,26762195,Bharat Mumbai Container Terminals(PSA),22/8/2020 14:16,TRUCK
"NMPT, New Mangalore",Southern,EXPORT,TEMU3600771,20,,,8/8/2020 13:35,,26784077,New Manglore Port Trust,10/8/2020 12:00,TRUCK
APSEZ,Western,EXPORT,BAXU5037514,40,,,24/7/2020 17:37,,26799291,Mundra International Container Terminal (MICT),31/7/2020 14:47,RAIL
APSEZ,Western,EXPORT,CRSU9204233,40,,,7/8/2020 11:12,,26811500,Adani CMA Mundra Terminal (ACMTPL),10/8/2020 07:03,TRUCK
APSEZ,Western,EXPORT,GESU4682984,40,,,26/7/2020 23:31,,26842878,Adani Mundra Container Terminal (AMCT),30/7/2020 13:27,RAIL
